index,date,value,group
404,2/1/2018,259480.7692,PA 
405,1/1/2009,250423.0769,VA 
406,2/1/2009,252115.3846,VA 
407,3/1/2009,273481.4815,VA 
408,4/1/2009,291307.6923,VA 
409,5/1/2009,294518.5185,VA 
410,6/1/2009,290296.2963,VA 
411,7/1/2009,287814.8148,VA 
412,8/1/2009,312185.1852,VA 
413,9/1/2009,278423.0769,VA 
414,10/1/2009,286851.8519,VA 
415,11/1/2009,276296.2963,VA 
416,12/1/2009,306740.7407,VA 
417,1/1/2010,275703.7037,VA 
418,2/1/2010,289962.963,VA 
419,3/1/2010,287185.1852,VA 
420,4/1/2010,268333.3333,VA 
421,5/1/2010,298461.5385,VA 
422,6/1/2010,302074.0741,VA 
423,7/1/2010,306148.1481,VA 
424,8/1/2010,307629.6296,VA 
425,9/1/2010,287370.3704,VA 
426,10/1/2010,315259.2593,VA 
427,11/1/2010,276185.1852,VA 
428,12/1/2010,293370.3704,VA 
429,1/1/2011,293500,VA 
430,2/1/2011,277961.5385,VA 
431,3/1/2011,266592.5926,VA 
432,4/1/2011,299230.7692,VA 
433,5/1/2011,282925.9259,VA 
434,6/1/2011,309925.9259,VA 
435,7/1/2011,304074.0741,VA 
436,8/1/2011,287962.963,VA 
437,9/1/2011,289777.7778,VA 
438,10/1/2011,289518.5185,VA 
439,11/1/2011,269407.4074,VA 
440,12/1/2011,286296.2963,VA 
441,1/1/2012,377900,VA 
442,2/1/2012,381318.8406,VA 
443,3/1/2012,385657.1429,VA 
444,4/1/2012,397642.8571,VA 
445,5/1/2012,407557.1429,VA 
446,6/1/2012,413585.7143,VA 
447,7/1/2012,420142.8571,VA 
448,8/1/2012,411871.4286,VA 
449,9/1/2012,411114.2857,VA 
450,10/1/2012,407161.7647,VA 
451,11/1/2012,418159.4203,VA 
452,12/1/2012,416500,VA 
453,1/1/2013,397942.029,VA 
454,2/1/2013,420771.4286,VA 
455,3/1/2013,426700,VA 
456,4/1/2013,431275.3623,VA 
457,5/1/2013,443550.7246,VA 
458,6/1/2013,454328.5714,VA 
459,7/1/2013,443185.7143,VA 
460,8/1/2013,450557.1429,VA 
461,9/1/2013,440585.7143,VA 
462,10/1/2013,436314.2857,VA 
463,11/1/2013,433057.1429,VA 
464,12/1/2013,452800,VA 
465,1/1/2014,402243.2432,VA 
466,2/1/2014,431381.5789,VA 
467,3/1/2014,428092.1053,VA 
468,4/1/2014,434026.3158,VA 
469,5/1/2014,441578.9474,VA 
470,6/1/2014,448118.4211,VA 
471,7/1/2014,443064.9351,VA 
472,8/1/2014,441090.9091,VA 
473,9/1/2014,444171.0526,VA 
474,10/1/2014,419526.3158,VA 
475,11/1/2014,423868.4211,VA 
476,12/1/2014,434657.8947,VA 
477,1/1/2015,435500,VA 
478,2/1/2015,421920,VA 
479,3/1/2015,429092.1053,VA 
480,4/1/2015,436592.1053,VA 
481,5/1/2015,451467.5325,VA 
482,6/1/2015,445223.6842,VA 
483,7/1/2015,441116.8831,VA 
484,8/1/2015,438907.8947,VA 
485,9/1/2015,435197.3684,VA 
486,10/1/2015,430289.4737,VA 
487,11/1/2015,439328.9474,VA 
488,12/1/2015,433947.3684,VA 
489,1/1/2016,432671.0526,VA 
490,2/1/2016,430171.0526,VA 
491,3/1/2016,446092.1053,VA 
492,4/1/2016,445697.3684,VA 
493,5/1/2016,453947.3684,VA 
494,6/1/2016,458558.4416,VA 
495,7/1/2016,465947.3684,VA 
496,8/1/2016,453012.987,VA 
497,9/1/2016,433038.961,VA 
498,10/1/2016,447025.974,VA 
499,11/1/2016,442118.4211,VA 
500,12/1/2016,453592.1053,VA 
501,1/1/2017,436144.7368,VA 
502,2/1/2017,442697.3684,VA 
503,3/1/2017,455171.0526,VA 
504,4/1/2017,463407.8947,VA 
505,5/1/2017,467250,VA 
506,6/1/2017,464792.2078,VA 
507,7/1/2017,466727.2727,VA 
508,8/1/2017,463592.1053,VA 
509,9/1/2017,456171.0526,VA 
510,10/1/2017,452552.6316,VA 
511,11/1/2017,463605.2632,VA 
512,12/1/2017,470526.3158,VA 
513,1/1/2018,459842.1053,VA 
514,2/1/2018,455866.6667,VA 
515,1/1/2009,151250,WV 
516,2/1/2009,155000,WV 
517,3/1/2009,158500,WV 
518,4/1/2009,174750,WV 
519,5/1/2009,158000,WV 
520,6/1/2009,174500,WV 
521,7/1/2009,171750,WV 
522,8/1/2009,153500,WV 
523,9/1/2009,155000,WV 
524,10/1/2009,148750,WV 
525,11/1/2009,149500,WV 
526,12/1/2009,160250,WV 
527,1/1/2010,135000,WV 
528,2/1/2010,161750,WV 
529,3/1/2010,153750,WV 
530,4/1/2010,123500,WV 
531,5/1/2010,150250,WV 
532,6/1/2010,150250,WV 
533,7/1/2010,179250,WV 
534,8/1/2010,137000,WV 
535,9/1/2010,160500,WV 
536,10/1/2010,173500,WV 
537,11/1/2010,147250,WV 
538,12/1/2010,137250,WV 
539,1/1/2011,119750,WV 
540,2/1/2011,114250,WV 
541,3/1/2011,125750,WV 
542,4/1/2011,125250,WV 
543,5/1/2011,137000,WV 
544,6/1/2011,137000,WV 
545,7/1/2011,139750,WV 
546,8/1/2011,140750,WV 
547,9/1/2011,143000,WV 
548,10/1/2011,132000,WV 
549,11/1/2011,122000,WV 
550,12/1/2011,133500,WV 
551,1/1/2012,159714.2857,WV 
552,2/1/2012,178000,WV 
553,3/1/2012,186714.2857,WV 
554,4/1/2012,194000,WV 
555,5/1/2012,203714.2857,WV 
556,6/1/2012,190142.8571,WV 
557,7/1/2012,202571.4286,WV 
558,8/1/2012,196857.1429,WV 
559,9/1/2012,205857.1429,WV 
560,10/1/2012,201428.5714,WV 
561,11/1/2012,193142.8571,WV 
562,12/1/2012,195857.1429,WV 
563,1/1/2013,181000,WV 
564,2/1/2013,196571.4286,WV 
565,3/1/2013,200142.8571,WV 
566,4/1/2013,201428.5714,WV 
567,5/1/2013,230571.4286,WV 
568,6/1/2013,211428.5714,WV 
569,7/1/2013,235000,WV 
570,8/1/2013,218571.4286,WV 
571,9/1/2013,223571.4286,WV 
572,10/1/2013,216571.4286,WV 
573,11/1/2013,228857.1429,WV 
574,12/1/2013,206857.1429,WV 
575,1/1/2014,210285.7143,WV 
576,2/1/2014,210571.4286,WV 
577,3/1/2014,216714.2857,WV 
578,4/1/2014,230428.5714,WV 
579,5/1/2014,244000,WV 
580,6/1/2014,235285.7143,WV 
581,7/1/2014,239285.7143,WV 
582,8/1/2014,227142.8571,WV 
583,9/1/2014,221000,WV 
584,10/1/2014,221000,WV 
585,11/1/2014,210142.8571,WV 
586,12/1/2014,218571.4286,WV 
587,1/1/2015,216285.7143,WV 
588,2/1/2015,206714.2857,WV 
589,3/1/2015,226142.8571,WV 
590,4/1/2015,227000,WV 
591,5/1/2015,244571.4286,WV 
592,6/1/2015,242142.8571,WV 
593,7/1/2015,252142.8571,WV 
594,8/1/2015,231428.5714,WV 
595,9/1/2015,247571.4286,WV 
596,10/1/2015,223714.2857,WV 
597,11/1/2015,223285.7143,WV 
598,12/1/2015,212285.7143,WV 
599,1/1/2016,216142.8571,WV 
600,2/1/2016,210142.8571,WV 
601,3/1/2016,228714.2857,WV 
602,4/1/2016,232428.5714,WV 
603,5/1/2016,236000,WV 
604,6/1/2016,241571.4286,WV 
605,7/1/2016,247428.5714,WV 
606,8/1/2016,249571.4286,WV 
607,9/1/2016,242571.4286,WV 
608,10/1/2016,235285.7143,WV 
609,11/1/2016,235285.7143,WV 
610,12/1/2016,227428.5714,WV 
611,1/1/2017,230285.7143,WV 
612,2/1/2017,237571.4286,WV 
613,3/1/2017,222000,WV 
614,4/1/2017,243142.8571,WV 
615,5/1/2017,255142.8571,WV 
616,6/1/2017,255571.4286,WV 
617,7/1/2017,251857.1429,WV 
618,8/1/2017,247714.2857,WV 
619,9/1/2017,251142.8571,WV 
620,10/1/2017,250285.7143,WV 
621,11/1/2017,257285.7143,WV 
622,12/1/2017,257000,WV 
623,1/1/2018,242428.5714,WV 
624,2/1/2018,247142.8571,WV 
